title,price,provence,year,fuel,kilometers,change,power
Citroen Berlingo 1.6 HDi 75 X,4.123 €,"Utebo (Zaragoza)
Hace 5 horas",2012,Diesel,222.000 Km,,75 CV
Toyota Auris 1.4 90D BUSINESS,8.990 €,"Utebo (Zaragoza)
Hace 5 horas",2015,Diesel,114.000 Km,,90 CV
Skoda Fabia 1.9 TDi Comfort 101 CV,2.990 €,"Utebo (Zaragoza)
Hace 5 horas",2002,Diesel,212.000 Km,,101 CV
Volvo XC 90 D5 Momentum,7.390 €,"Utebo (Zaragoza)
Hace 5 horas",2006,Diesel,365.000 Km,,185 CV
BMW Serie 3 318d Auto Gran Turismo,17.600 €,"Utebo (Zaragoza)
Hace 5 horas",2013,Diesel,200.000 Km,,143 CV
BMW X5 3.0d,13.500 €,"Utebo (Zaragoza)
Hace 5 horas",2007,Diesel,228.000 Km,,235 CV
Ford Transit Custom Van 2.2 TDCI 100cv 250 L1 Ambiente,8.512 €,"Utebo (Zaragoza)
Hace 5 horas",2015,Diesel,153.000 Km,,100 CV
Citroen Berlingo 1.4 600,2.479 €,"Utebo (Zaragoza)
Hace 5 horas",2007,Gasolina,170.000 Km,,75 CV
Citroen Jumper 30 L1H1 2.2 HDi 110cv,11.157 €,"Utebo (Zaragoza)
Hace 5 horas",2015,Diesel,131.000 Km,,110 CV
BMW Serie 3 320D,2.990 €,"Utebo (Zaragoza)
Hace 5 horas",2000,Diesel,394.000 Km,,136 CV
Alfa Romeo 147 1.6 TS 105CV Distinctive,3.490 €,"Utebo (Zaragoza)
Hace 5 horas",2007,Gasolina,166.000 Km,,105 CV
BMW Serie 5 525TDS,1.490 €,"Utebo (Zaragoza)
Hace 5 horas",1996,Diesel,544.000 Km,,143 CV
Citroen C5 2.0i 16v Exclusive,1.990 €,"Utebo (Zaragoza)
Hace 5 horas",2003,Gasolina,218.000 Km,,138 CV
Citroen Berlingo 1.6 HDi 75 600,5.776 €,"Utebo (Zaragoza)
Hace 5 horas",2015,Diesel,135.000 Km,,75 CV
Volvo XC 90 D5 Momentum,6.490 €,"Utebo (Zaragoza)
Hace 5 horas",2005,Diesel,233.000 Km,,185 CV
Audi A4 Avant 2.0 TDI 143cv DPF,8.490 €,"Utebo (Zaragoza)
Hace 5 horas",2010,Diesel,266.000 Km,,143 CV
