  TOYOTA Aygo 1.0 VVT-i x-play  ,8.380 € ,Madrid,2018, Gasolina,8.000 km,Manual,69 cv
  SMART Fortwo Coupé 62 Pulse Aut.  ,3.500 € ,Barcelona,2008, Gasolina,119.000 km,Automático,84 cv
  AUDI A3 Sportback 1.6TDI Sport Edition 85kW  ,20.100 € ,Barcelona,2018, Diesel,8.075 km,Manual,116 cv
  AUDI A5 Cabrio 2.0TDI Advanced S tronic  ,35.800 € ,Barcelona,2017, Diesel,30.834 km,Automático,190 cv
  MERCEDES-BENZ Clase V 220d Marco Polo Horizon  ,48.900 € ,Madrid,2018, Diesel,15 km,Manual,163 cv
  HYUNDAI i10 1.0 Tecno  ,7.490 € ,Madrid,2018, Gasolina,8.492 km,Manual,66 cv
  PEUGEOT 308 1.6 VTi Access  ,6.900 € ,Madrid,2012, Gasolina,65.875 km,Manual,120 cv
  HYUNDAI i20 MPI 1.2 KLASS 5P  ,9.290 € ,Madrid,2018, Gasolina,10.000 km,Manual,85 cv
  AUDI A3 Sedán 2.0TDI CD Attraction Q.S-T 184  ,17.710 € ,Madrid,2015, Diesel,51.530 km,Automático,184 cv
  TOYOTA Yaris HSD 1.5 Active  ,9.930 € ,Madrid,2015, Híbrido,77.617 km,Automático,100 cv
  TOYOTA Auris Touring Sports hybrid 140H Feel!  ,13.810 € ,Madrid,2015, Híbrido,85.624 km,Automático,136 cv
  HYUNDAI Kona TGDI 1.6 4X4 DT STYLE SKY LIM  ,20.720 € ,Madrid,2017, Gasolina,15.598 km,Automático,176 cv
  DS DS3 1.6BlueHDi S&S Desire 100  ,9.150 € ,Madrid,2017, Diesel,70.922 km,Manual,99 cv
  LEXUS NX 300h F Sport 4WD  ,30.220 € ,Madrid,2016, Híbrido,74.975 km,Automático,197 cv
  TOYOTA Aygo 1.0 VVT-i x-play  ,8.380 € ,Madrid,2018, Gasolina,8.000 km,Manual,69 cv
  BMW Serie 2 218iA Active Tourer  ,20.640 € ,Madrid,2018, Gasolina,9.662 km,Automático,136 cv
  HYUNDAI Tucson 1.7CRDI BD Klass 4x2  ,15.810 € ,Madrid,2017, Diesel,27.826 km,Manual,115 cv
  HYUNDAI Tucson 1.7CRDI BD Klass 4x2  ,17.110 € ,Madrid,2018, Diesel,21.541 km,Manual,115 cv
  BMW Serie 4 420dA Gran Coupé  ,35.900 € ,Asturias,2018, Diesel,17.427 km,Automático,190 cv
  BMW Serie 2 218d Coupé  ,27.900 € ,Asturias,2019, Diesel,10 km,Manual,150 cv
